INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:root:episode     0 complete - reward(new:  228, avg:  228, best:  228)
INFO:root:episode     0 complete - reward(new:  286, avg:  229, best:  286)
INFO:root:episode     0 complete - reward(new:  385, avg:  230, best:  385)
INFO:root:episode     0 complete - reward(new:  366, avg:  232, best:  385)
INFO:root:episode     0 complete - reward(new:  206, avg:  231, best:  385)
INFO:root:episode     0 complete - reward(new:  302, avg:  232, best:  385)
INFO:root:episode     0 complete - reward(new:  254, avg:  232, best:  385)
INFO:root:episode     0 complete - reward(new:  415, avg:  234, best:  415)
INFO:root:episode     0 complete - reward(new:  297, avg:  235, best:  415)
INFO:root:episode     0 complete - reward(new:  458, avg:  237, best:  458)
INFO:root:episode     0 complete - reward(new:  404, avg:  239, best:  458)
INFO:root:episode     0 complete - reward(new:  414, avg:  240, best:  458)
INFO:root:episode     0 complete - reward(new:  207, avg:  240, best:  458)
INFO:root:episode     0 complete - reward(new:  402, avg:  242, best:  458)
INFO:root:episode     0 complete - reward(new:  192, avg:  241, best:  458)
INFO:root:episode     0 complete - reward(new:  469, avg:  243, best:  469)
INFO:root:episode     0 complete - reward(new:  399, avg:  245, best:  469)
INFO:root:episode     0 complete - reward(new:  107, avg:  244, best:  469)
INFO:root:episode     0 complete - reward(new:  221, avg:  243, best:  469)
INFO:root:episode     0 complete - reward(new:  141, avg:  242, best:  469)
INFO:root:episode     0 complete - reward(new:  186, avg:  242, best:  469)
INFO:root:episode     0 complete - reward(new:  392, avg:  243, best:  469)
INFO:root:episode     0 complete - reward(new:  617, avg:  247, best:  617)
INFO:root:episode     0 complete - reward(new:  498, avg:  249, best:  617)
INFO:root:episode     0 complete - reward(new:  286, avg:  250, best:  617)
INFO:root:episode     0 complete - reward(new:  371, avg:  251, best:  617)
INFO:root:episode     0 complete - reward(new:  418, avg:  253, best:  617)
INFO:root:episode     0 complete - reward(new:  462, avg:  255, best:  617)
INFO:root:episode     0 complete - reward(new:  216, avg:  254, best:  617)
